地区	2022年	2021年（亿元）	2020年	2019年	2018年
北京	41610.90	41045.63	35943.25	35445.13	33106.00
天津	16311.30	15685.05	14007.99	14055.46	13362.90
石家庄		6490.30	5935.00	5810.00	6082.62
太原		5121.61	4153.00	4029.00	3884.48
呼和浩特		3121.43	2801.00	2791.00	2903.50
沈阳		7249.00	6572.00	6470.00	6292.40
大连		7825.95	7030.00	7002.00	7668.48
长春		7103.10	6638.00	5904.00	7175.71
哈尔滨		5351.66	5184.00	5249.00	6300.48
上海	44652.80	43653.17	38963.30	37987.55	36011.80
南京		16356.00	14818.00	14031.00	12820.40
杭州		18109.42	16106.00	15373.00	13509.15
宁波		14594.92	12409.00	11985.00	10745.46
合肥		11412.80	10046.00	9409.00	7822.91
福州		11324.48	10020.00	9392.00	7856.81
厦门		7033.89	6384.00	5995.00	4791.41
南昌		6650.53	5746.00	5596.00	5274.67
济南		11432.22	10141.00	9443.00	7856.56
青岛		14136.00	12401.00	11741.00	12001.52
郑州		12691.02	12004.00	11590.00	10143.32
武汉		17716.76	15616.00	16223.00	14847.29
长沙		13270.70	12143.00	11574.00	11003.41
广州		28231.97	25019.00	23629.00	22859.35
深圳		30664.85	27670.00	26927.00	24221.98
南宁		5120.94	4726.00	4507.00	4026.91
海口		2057.06	1792.00	1672.00	1510.51
重庆	29129.00	28077.28	25041.43	23605.77	21588.80
成都		19916.98	17717.00	17013.00	15342.77
贵阳		4711.03	4312.00	4040.00	3798.45
昆明		7222.50	6734.00	6476.00	5206.90
拉萨		741.84	678.00	618.00	540.78
西安		10688.28	10020.00	9321.00	8349.86
兰州		3231.29	2887.00	2837.00	2732.94
西宁		1548.79	1373.00	1328.00	1286.41
银川		2262.95	1964.00	1897.00	1901.48
乌鲁木齐		3691.57	3337.00	3413.00	3099.77
