title,author,price
剪映:短、中、长视频剪辑全攻略(手机版+电脑版),构图君,￥48.86
算法详解(卷3)——贪心算法和动态规划,蒂姆·拉夫加登(Tim Roughgarden)  著,￥44.67
神奇笔记:思维导图轻松学,铃铛子,￥48.30
ChatGPT:AI革命,刘琼,￥39.80
程序员*大脑,[荷] 费莉安·赫尔曼斯(Felienne Hermans) 著,￥44.90
智慧共生 ChatGPT与AIGC生产力工具实践,王树义 著,￥38.34
为什么伟大不能被计划,[美]肯尼斯·斯坦利;[美]乔尔·雷曼,￥59.00
AI智能办公:从训练ChatGPT开始,凌祯  等,￥55.93
程序是怎样跑起来的(第3版),[日]矢泽久雄 著,￥29.90
用数据讲故事(修订版),[美]科尔·努斯鲍默·纳福利克著,￥34.90
PPT设计的艺术——人人都用得上的PPT设计书(全彩),林屹,￥48.40
微信小程序开发实战(第2版),黑马程序员 编著,￥38.80
实用黑客攻防技术,布赖森·佩恩(Bryson Payne) 著,￥44.67
写给青少年的人工智能(Python版),陈璟、王萌、梁婷,￥48.86
人人都离不开的算法——图解算法应用,许正军;张燕玲;袁岳,￥48.86
Python编程：从入门到实践(第2版),（美）埃里克·马瑟斯（Eric Matthes）,￥41.00
ChatGPT使用指南:人人都应该掌握的AI最强工具,苏江,￥64.40
精益数据分析(珍藏版),[加] 阿利斯泰尔·克罗尔 (Alistair Croll)[加] 本杰明·尤科维奇(Benjamin Yoskovitz) 著,￥59.90
AIGC未来已来,翟尤 郭晓静 曾宣玮 著,￥44.67
同构:编程中的数学,刘新宇,￥53.00
Python网络爬虫:从入门到精通(附微课),吕云翔  主编,￥31.90
